Disease	Dimension 1	Dimension 2	Dimension 3	Dimension 4	Dimension 5	Dimension 6	Dimension 7	Dimension 8	Dimension 9	Dimension 10	Dimension 11	Dimension 12	Dimension 13	Dimension 14	Dimension 15	Dimension 16	Dimension 17	Dimension 18	Dimension 19	Dimension 20
Behcets_Syndrome	0.506043824	0.859070583	-2.10219413	0.081775566	0.681238668	-0.191335072	-0.12691139	0.935289111	2.435648377	2.159531051	1.162863329	1.079226205	0.377980175	-1.665134046	-1.687922369	-0.528205081	-0.474248029	0.298334126	-0.803737451	-0.005971005
Chronic_Sinusitis	1.1029229	-1.138275521	-1.147879212	0.226560081	-1.384667946	0.039731747	1.405809954	-0.264800895	0.533759715	-1.932832414	0.294291083	-0.277491643	0.353742537	0.465264698	0.644086647	-0.645137722	0.633627437	0.785232577	-0.852287409	-0.00022443
Chronic_Tonsillitis_Adenoiditis	1.276542243	-1.779343918	-0.066283622	0.24026176	-0.984045259	0.132069132	1.353614073	-1.360867186	-0.735993913	-1.46944524	0.016472771	-0.424062305	-1.803858952	2.199010962	0.444335127	-1.409371319	0.260027621	1.071156653	0.840823576	0.006417212
Common_Variable_Immunodeficiency	0.505309976	-0.125620464	0.188327719	1.759501384	-3.556636483	-0.650460785	1.348372055	-1.477547509	1.223549615	0.312990877	0.086897657	0.535576684	1.646610144	-1.549800118	0.226218281	-0.138551873	-0.303173672	1.427720287	-0.547561737	-0.001453416
Congenital_Neutropenia	-1.093852867	1.982085798	0.235905811	-0.284750239	-0.73585802	0.490631375	-0.181101518	0.235976689	0.649981327	0.009618765	-0.5270453	-0.51597962	-0.06786463	0.1969142	-0.228063069	-0.245702113	-0.206246368	-0.001198269	0.056313631	-0.000555076
Parkinsons_Disease	-0.38954042	-1.068680005	-0.053309078	-1.696865466	1.157356965	0.663697785	-1.702356999	-0.146684878	0.461466269	3.218969233	1.703447647	-0.606310539	0.984861503	0.260382784	-0.274947774	1.259200785	-0.2643003	-1.21498409	0.920840239	-0.002406958
Cystitis_Urethritis	-1.126954689	0.67579949	-1.062276314	-0.001304634	0.658094121	-0.072851507	0.801532395	1.162123295	1.695706531	-0.784129154	1.441197467	0.508820975	0.117897505	-1.384294639	2.214123964	0.38203135	-0.495059568	-1.05648239	-0.659358808	0.001637621
Eye_Inflammation	1.129028455	-0.696011042	-1.686333329	-0.181350277	-0.676524593	0.25956992	-1.00682065	-1.550362758	0.498727592	-0.384226917	-0.248997634	1.645668467	-0.106996226	-0.187025089	0.524385467	-0.473169803	0.02634108	-0.51738231	-0.600624706	-0.010421116
Familial_Mediterranean_Fever	-1.233402639	1.728370873	-0.159135085	-0.017998201	-1.026536439	0.038245458	-0.650826493	-0.825195879	-0.112477399	-0.06442019	-0.942983261	0.365319137	-1.179086217	0.110464572	-0.128086018	0.337743186	-0.083384378	0.08212168	-0.027733792	0.001433694
Gastritis_Duodenitis	-0.541294513	-0.499837115	-1.621553054	-0.260587831	0.083922657	0.465018323	2.006655563	0.234014397	1.257922555	1.35522594	-1.499915555	0.072049624	-0.800802664	1.539303101	0.269393681	0.357800383	-0.410665352	-0.552013077	-0.671525393	0.012267799
Graves_Disease	1.20300256	-0.527361437	-1.344326641	1.01058818	0.869014455	-1.415340052	-1.087081637	1.754925356	0.677809087	2.115832397	0.644662106	1.213730535	-1.763177863	0.007364707	0.482986248	0.052529528	1.807152715	-0.860917336	0.499239229	-0.008256232
Crohns_Disease	-2.336879297	-1.156965753	-0.941200135	0.84879664	-0.568478243	0.387386984	1.087596556	-1.581796434	0.854035679	0.85318663	-0.517505484	1.804208351	1.972870842	0.510557205	0.346427753	-1.26892406	-1.108767069	0.179715388	0.179449423	0.003038403
IBS	-0.519570143	-0.725810337	-2.472664968	0.603638753	-0.145002503	0.281947746	1.211358733	1.15261302	1.553953469	1.081773208	-0.812608708	0.625286432	0.768587047	0.911874293	0.61288078	-0.543098594	-1.288070929	-0.607794307	-0.724796649	-0.002612582
IgA_Immunodeficiency	-0.715619506	2.079699786	0.889449119	2.499142921	-2.001951259	-1.085794045	1.395842835	-1.018498119	1.79514668	-0.186278596	0.069722545	1.828332181	0.550412018	-1.032539961	-0.048167913	0.337136809	-0.50225829	1.409955946	0.299025701	0.003602024
Inflammatory_Spondylopathies	0.357684023	-0.766927479	0.093840785	-0.175647817	-0.694121766	-0.636289421	-0.292522175	0.679667989	1.00726144	0.907853709	0.841566008	2.145746953	2.510035527	1.075971999	1.665874899	0.37489216	1.766783416	1.248125059	-0.137341998	-0.00100638
Lupus_Erythematosus	-1.528341503	0.948731453	0.788450013	0.620947747	-0.866367975	-0.195872264	-0.079117457	0.480489491	-0.609717971	1.888974947	1.34241393	1.940376702	0.829684685	-1.241906686	-0.672184667	-1.409742344	0.596725747	-1.261645697	-1.058906419	0.004445584
Multiple_Sclerosis_Other_Demyelinating_Disease	0.225684532	-0.940520942	0.904897994	0.700072375	-0.612754989	0.622237854	-1.214775433	1.160730107	-0.133908524	-1.078057094	1.965967948	0.440169994	1.990817236	-2.930705809	0.844928345	-0.273172201	0.428932002	0.121938074	0.121218092	-0.010710489
Myasthenia_Gravis	0.579685928	-3.565471824	1.252053611	0.337279751	-0.511624671	-0.007813221	-0.158810249	-0.910513966	-0.56591703	1.36910164	1.246506839	0.226299343	-0.275205962	-0.612209283	-0.430438633	1.156427994	-0.152824468	-0.846314135	-1.063471148	0.011343777
Non-Specific_Immune-Related_Skin_Disorder	-1.466188167	1.086486251	-1.666918557	-0.802959724	-1.633424638	0.175721788	-0.481049394	-1.175810939	-1.163992793	0.477966691	0.751667295	-0.509343928	0.393140556	-0.551484463	-0.771614852	-0.872259582	0.287736538	-0.997934349	0.334446945	0.006094808
Spinal_Chord_Degeneration	1.03667855	-0.947033153	2.125100382	-0.702271085	-0.195675152	-0.334649986	-0.477319277	1.27157075	0.071402815	1.68468952	1.055228956	0.524229662	2.061231951	-0.413559319	1.684468369	0.6539144	-0.415474106	1.157755239	0.071245131	0.004245929
Psoriasis_Related_Disorders	-1.666270989	0.857122328	-2.821542525	-0.55369042	-0.709109395	-0.214186613	0.019064144	-1.168331607	0.235700184	-0.090613371	1.292010779	1.267605766	-0.138351925	1.473087251	-0.380564924	0.364795922	1.875414377	0.354787746	1.139489864	-0.010024475
Reactive_Arthritis	-2.553559219	-0.209697441	0.301742196	-0.054086472	-0.230998374	0.07528854	-1.339141132	-2.081327338	-0.585969619	0.524997055	1.694389442	1.31208178	-1.237744466	1.458264058	0.609542499	0.476366615	-0.14771364	0.350949647	-1.158999515	-0.011229301
Rheumatoid_Arthritis_Related_Conditions	-1.318210475	-0.515734801	-0.6407427	-0.537203525	-0.342331186	0.473668985	-0.053269165	0.175139074	1.671908371	0.336555293	2.666528039	1.938646967	-0.13303296	0.598992003	-0.997444683	0.126944719	1.669054112	0.306677621	-0.988538772	-0.006884525
Sjogrens_Syndrome	-0.17412989	-0.843553078	-0.491029772	0.094569736	-2.032785172	0.90679855	-0.761856595	0.38428513	0.06553467	2.508307101	1.68748	1.393019345	-0.732215694	-0.541447706	-0.522050955	-0.740077554	0.456414661	-0.618284527	-1.703331896	-0.009108814
Thyroiditis	0.847367038	-0.616959382	-1.515441627	2.313055424	-0.678629562	-0.512514378	0.420597138	1.68692317	-0.659606806	1.331867632	1.688894767	0.017968715	-1.361664204	-0.893780475	-0.220448698	0.817933793	0.890383599	-0.32876424	0.205611174	0.002791543
Type_I_Diabetes_Mellitus	0.149047852	-0.176221114	0.875261863	-0.567843659	0.069726958	1.118572944	-0.446543244	-0.111046877	-0.518446859	-1.199834676	0.433170301	0.403049175	-1.878870944	-1.165275791	-0.014927655	2.631692887	1.519838898	-0.200860501	1.129964139	-0.003190267
Ulcerative_Colitis	-1.724010886	-0.483596483	-1.043686886	0.023133475	0.077755842	0.9441162	0.235882246	-1.532905334	0.931414932	0.277402539	-1.522203195	1.329758312	2.29644701	1.055790935	0.579735234	-2.057182553	-0.771997833	0.251152716	-0.380652543	-0.015121413
Unspecified_Hepatitis	-2.053180504	1.10112664	0.355931575	0.180232688	-1.603505839	-2.198762646	-1.558545741	0.617025564	-0.137975196	2.172975641	-1.27433777	1.464873356	-0.481829634	0.340611831	0.189877054	0.80207908	0.084890799	-0.536994279	-0.253706495	-0.005112033
Unspecified_Immune_Deficiency	-0.34299539	-0.364975832	1.30460007	2.631505367	-3.16057958	-0.282385437	0.659562084	-2.211776035	1.238997925	-0.418812107	0.834652915	0.93063045	0.009783181	-0.9599546	0.755452258	-0.479973729	0.463917199	1.421610929	0.03939306	0.000654966
Upper_Respiratory_Inflammation	0.711493026	0.101319776	-0.59267998	-0.250450651	-0.813001188	-0.455830825	0.821464929	-0.330964467	0.289901208	-0.917936428	0.368168294	0.246170155	-0.689332	0.845681091	0.641390664	-0.927263938	-0.196101859	-0.176624025	0.149928292	0.003517991
Vasculitis	-0.497706797	0.249779923	1.445947252	0.526442577	-0.378925967	0.562777013	-0.86778814	-1.558289704	0.374781584	0.835083775	1.857047427	-0.27693512	0.018878865	-1.147063973	-0.493520789	-0.940315032	-0.108253243	-1.075758008	-1.949743018	0.000379358
Acute_Bronchitis	0.848293884	0.579527802	-0.603517011	-0.551047898	-0.704375637	-0.556042386	1.119615405	-0.38603538	0.921402789	-0.883083392	-0.247031321	0.016409129	-0.105142165	0.302392425	0.009760867	-0.500604807	0.570642217	-0.168602839	0.092330136	0.003857064
Arthropod-Borne_Diseases	-0.677554373	-0.642263894	0.618639306	1.665292408	-0.450747353	-0.305665517	-2.143024542	0.632366729	1.194135488	0.542466322	2.462012014	0.420043733	-0.200450951	1.4791765	0.816129455	-0.995647585	-0.142348396	0.286883346	-0.421978031	0.004706606
Ear_Infection	1.864443387	0.843372541	-0.645366609	-0.303541342	-0.274479916	0.329326278	0.858942505	-1.056619852	0.744574285	-0.784128582	0.247706287	-0.753679042	-1.036967363	0.939578285	0.598078145	-0.900753802	-0.400088595	0.020157899	0.62026171	-0.009887319
Encephalitis	0.138204638	-0.713010036	3.5631715	-0.103986769	-1.310028937	0.223934337	-2.037234549	0.624569311	0.955691983	0.034557363	1.282358871	0.418258862	1.340279682	-0.649248832	1.44406006	-0.189223819	0.124901207	0.251890953	0.295277104	-0.002393752
Escherichia_Coli_Infection	-1.883655122	0.606741742	2.474667265	-0.728323412	1.229990625	1.016402338	0.538177594	0.932612075	1.999698594	-1.040241895	0.552676967	0.480179797	-0.439899417	-1.101428339	1.75237651	0.264764516	0.00096913	-1.16257546	-0.002273855	-0.003723893
Eye_Infection	1.207833544	0.318842467	-1.073901542	-0.385251178	-0.792893905	0.143179558	-0.276795121	-1.235864321	0.559685114	-0.481718881	-0.235104885	0.824268653	-0.650416497	0.150982016	0.780900711	-0.718716558	-0.132148168	-0.570622486	-0.038215419	0.002342217
Fungal_Infection	-0.37249828	0.841262025	-1.343528459	-1.543409522	0.361261317	1.737504177	0.152514923	-0.730197401	-0.39580988	-0.518840157	0.927669597	-0.130874738	-0.166626603	-0.913666763	-0.306775207	0.357600759	-0.170741999	-0.541712013	0.663720735	0.007589411
Gastrointestinal_Infection	-0.243757926	0.386730483	0.412206395	-0.46596497	-0.138696571	0.424740699	0.92211247	-0.794102853	1.382852938	-0.025517682	-0.716793319	0.14367181	-0.482849	0.922290342	0.830592325	-1.310570408	-0.270811363	-0.596899521	0.249483897	0.009887112
General_Bacterial_Infection	-2.058765169	0.191224619	1.731059697	-0.901161563	-0.415542306	0.758818982	0.601154346	-0.328791363	0.096843183	-1.250482278	0.778706403	-0.017278626	-0.675472874	-1.08020201	0.907133281	-0.974789384	0.074641688	-0.599159084	0.195340526	0.006890981
General_Viral_Infection	0.632402613	0.751315216	-0.046163929	-0.322471307	-0.87011716	-0.543956618	0.634503725	-1.028588667	0.526349373	-0.266370691	0.319655918	0.169699688	-1.023202937	0.879676153	0.856616845	-1.206857803	-0.429623659	-0.540322448	0.540943342	-0.005722957
HIV	-1.955846336	-0.433980309	-0.166842091	-0.131522628	-2.174260787	-0.047304284	-1.489340098	-1.339670414	-0.078443776	-1.208766198	-0.973516411	-0.627432805	0.875587179	-0.222075949	2.950225475	0.401133076	1.99743955	-0.032769485	0.963716305	-0.014575869
Influenza	0.490917519	0.550824959	-0.215762912	-0.395845377	-0.626904411	-0.585180781	0.809668767	-0.445837696	0.62863698	-0.867388513	0.190068217	0.353430776	-0.494255238	0.756630472	0.502650644	-0.914087439	0.111665941	-0.422849699	0.232849624	0.002936154
Other_Viral_Hepatitis	-2.043498678	1.115381106	0.533429043	0.574720293	-1.129000459	-1.747631309	-1.178521369	0.444875262	0.635914563	1.247984673	-0.714468262	0.797860151	-1.068048117	0.791308732	0.836076722	0.770687755	0.828845753	-0.481583173	-0.011427211	-0.012963839
Parasitic_Infection	0.169863162	1.091196941	-0.371038148	-0.956064442	-0.133288038	-0.107913587	0.272556147	-0.104763006	1.228505408	-0.253465091	0.326681801	0.476100253	-0.477005564	0.801633802	1.170724226	-0.65628269	0.561574956	0.132875832	0.348418062	0.000973006
Pneumonia	0.559250855	-0.144074484	1.132309862	-1.224081135	-0.466333893	-1.049674525	1.420787804	-1.526714972	1.744991558	-0.057527326	0.122180424	-0.245910207	-0.214299773	-0.622365119	-0.39163191	-1.285994578	1.090337394	-0.025016537	0.508537881	0.004881575
Poliomyelitis	-0.051330938	-0.690254897	1.45996722	-3.666407883	-1.495153677	-0.021791586	-1.150037226	-0.79442808	0.39667259	0.543460862	-0.153033213	0.413766791	1.235526813	0.256484826	-0.586354484	-0.369027753	-1.530598568	0.104554992	-0.572338826	0.011879716
Aneurysm	0.68511136	0.49672856	0.727771482	-1.283311768	2.161983078	-1.780475208	0.175297533	-0.035259359	0.441791397	1.354751622	-0.379999446	-2.086133138	0.932171291	-0.375953352	-0.392163195	0.328023218	0.255395061	-0.618198684	-1.415775902	0.000334268
STI	-2.315390926	0.323932239	-0.052386426	-0.117533927	-0.552517474	1.203502651	-0.237218517	0.533051504	-0.625052605	-1.371131241	1.054433097	0.486266639	-0.725115456	-0.019638601	2.589595326	0.482597921	0.801518838	-1.026637141	0.240203857	0.000969461
Spirochetal_Infection	-0.999241567	1.043572254	-0.009212508	-0.596506082	-1.086624725	-0.587834206	-0.258004095	-0.389868968	1.08271451	-0.730409806	0.288105543	-0.179289436	-0.824120613	-0.116871198	-0.361056691	0.156509703	0.271432828	0.15474183	0.06253062	0.002431949
Tuberculosis	-1.252284646	-0.128380219	0.84821163	-1.00692542	-1.982518088	-1.374132302	0.092716914	-0.48160532	1.07941472	0.320530569	0.576669002	1.41956254	-0.603204363	-0.729434167	-0.021937808	0.259279636	1.086640548	-0.376986132	-0.066074209	0.002758424
Viral_Hepatitis_C	-1.751861397	1.408918552	0.705946456	-0.937780804	-1.084831745	-2.256144967	-1.767517712	1.043535164	0.33558765	2.02912335	-1.171302264	0.647379978	-0.201219704	1.306771435	0.586922924	1.130585888	0.634998417	-0.279273373	0.643513461	0.002088867
Viral_Warts_HPV	-0.669029195	0.283703412	-2.095297056	-1.338002139	0.162731042	-1.556212336	0.034702449	-0.577788659	-1.269545038	-1.002070034	1.045298488	0.620527696	-0.218730486	0.560027098	0.733656129	-0.095560748	-0.46052004	-0.141943	0.698356014	0.003231247
Acne	-1.088122475	-0.868396807	-1.469070575	0.096678179	-0.939960418	-0.556026512	-0.081960175	-0.020080515	-1.917376851	0.120046843	2.166061186	0.940540942	-0.143638081	0.453840729	0.341556169	-1.629529164	-1.562121295	-0.875170117	0.338537016	0.000628271
Alopecia	-1.102093793	0.45880608	-2.259449066	1.454377319	-1.087138775	0.773434738	-1.224126651	0.670262162	-1.032772172	0.857264004	1.294831432	0.294486355	-0.602184932	0.110274062	-0.201188811	-0.859225131	-0.517347645	-0.763218602	0.276458193	0.001415659
Dyschromia	-0.78555881	0.472196085	-2.773789876	0.166397241	0.207288575	-1.179457292	-0.984834786	-0.248340508	-1.408326918	0.392624799	1.101913275	-0.31454802	0.961240813	-0.345434782	0.017960239	-0.925537462	-0.747289837	0.019137406	0.11111611	-0.002498977
Atherosclerosis	0.051085572	0.475612369	-0.153258226	-2.019799721	2.068525696	0.485883754	-0.275776114	-0.231741239	0.302589053	-0.073462553	-0.288953283	-1.694992601	0.176275139	0.203405325	-0.197832404	0.726633892	2.105311733	-0.309482974	-0.354216831	-0.00902396
Lichen	-1.237151239	1.531753259	-2.728503845	-0.819681591	-2.211002403	-0.745785834	-1.238613777	-0.297711291	0.066955107	0.873435257	1.150472812	-1.186625013	-0.300462657	-1.030204314	-0.038603376	0.125193159	0.055997795	-0.471207066	-0.113875017	-0.00794488
Non-Specific_Dental_Disorder	0.187330791	0.555029973	0.484086274	-1.223945396	-1.14451883	-0.40343292	-0.026366109	1.707008644	0.621046107	-0.733308878	0.177702485	-1.118853078	-1.32321182	1.074159653	0.626894762	0.124917841	0.305893852	-1.008477175	-0.118163527	-0.002192284
Non-Specific_Soft_Tissue_Disorder	-1.071387476	-0.724786427	0.610301307	-0.411434675	-0.640500865	-1.095422834	0.2898038	1.984773485	-0.763117816	1.006092044	1.879657275	1.348847947	0.352331398	1.319961286	-0.949530554	-0.263187632	-0.217549357	0.506985095	-0.919904926	-0.0029197
Oral_Soft_Tissue_Disease	-0.324602233	-0.049849189	-0.896741926	-1.002482515	-1.5332227	-0.631026371	-0.626916667	0.105814626	0.32710149	-0.333481026	0.771230155	-1.04725826	-1.27039891	0.623827644	0.453399039	-0.296727538	-0.231650224	-0.057839607	-0.144014661	0.003646135
Radiation_Sensitivity	-1.661074243	-0.506759702	-1.087416892	-1.948277015	1.432169663	0.745137275	2.44214255	-1.52442757	1.99162452	0.270068917	0.195520229	0.214055634	0.18555964	-0.068696218	1.511793938	0.848314248	-0.34014949	0.532494341	0.425989565	8.16E-06
Rosacea	-0.747474602	0.206612235	-3.351026641	0.538263553	-0.132669233	-0.118916138	-1.141479124	-0.293599411	-1.278540252	0.214220989	0.780254964	0.28183899	1.225971699	0.02569431	-0.081598429	-0.801483553	-0.479727091	-0.387420185	-0.190550383	-0.002733048
Seborrheic_Dermatitis	-0.590869088	0.637883656	-2.598858042	-0.109701441	-0.345936525	0.063859645	-0.870107602	-1.329394221	-1.109710988	0.655871214	1.138049853	-0.623641819	0.52048814	0.082278314	0.178131276	-0.573230035	-0.274008	-0.70865916	0.4954249	0.003545846
Cardiac_Dysrhythmia	-0.01873599	-1.441436873	-0.497968098	-0.336785516	2.811155833	0.260369687	-0.073595003	-0.902519792	0.095608749	0.115772127	0.203756604	-0.564998652	0.873004967	0.034682885	-0.77566475	-1.146481402	1.664715959	-0.311433051	0.116031905	0.008119149
Copper_Metabolism_Disorder	-1.524401967	-0.068613674	1.159335632	1.779970869	-1.023761904	0.29709054	-1.18091871	0.659649234	0.350628422	0.828646685	-0.691642628	-0.757019603	-0.088948883	1.591751712	-0.280867614	-0.407507548	0.09280588	0.156135274	-0.040371287	0.006228263
Gout_Related_Crystal_Arthropathies	-0.854104728	1.44101634	0.918981798	0.139347831	1.307180654	-0.364315271	-1.268329949	-1.5735929	0.87333155	-1.392277928	-0.001689148	0.689617347	1.062736175	2.129013492	-1.779264221	0.565772301	0.746710817	0.22079693	-0.480303651	-0.00175465
Cerebrovascular_Disease	1.254802352	-0.130998323	1.347397974	-0.782564633	2.206998449	0.712344103	-1.193960609	1.04162706	0.778119705	0.475156908	-0.380037647	-1.55926748	0.700970108	-0.988377137	-0.547959428	-0.011638294	0.191095346	-0.582686552	-0.449509919	0.00140173
Malnutrition	-2.271923727	-1.724068469	2.170330563	0.990617559	-0.032255812	1.215993943	0.899743425	0.074280406	0.661717708	1.09521573	-0.353449526	-0.289086856	-1.22739464	-0.292350337	-0.929807998	-0.618281283	-0.348277565	-0.598726911	0.674576702	0.004380504
Metabolic_Syndrome_X	-0.76250947	0.013368972	-0.694625018	2.58952052	0.149285504	0.547616775	-0.687058128	0.930853777	-0.871858174	-2.171692402	-0.728538803	-0.316286492	-0.650225506	0.688565648	-1.169885511	0.910145458	0.760044112	-0.711677827	-0.524013093	-0.001367168
Deep_Vein_Thrombosis	-1.024422498	0.443694106	1.319808972	0.067558833	1.660393852	1.105292322	1.892452903	0.457961028	-1.100333117	-0.878323571	0.159492694	-0.432320356	2.144304324	-0.226962621	-1.299028598	-0.695041607	-0.372557941	1.376479558	-0.170919935	-0.014595494
Unspecified_Hyperlipidemia	0.147894998	0.506623736	-1.06490781	0.284563575	0.79824148	0.026319589	-0.592599968	0.366970125	0.743252281	-0.955302378	-0.817380032	-0.37874321	0.226415725	0.42670874	-0.715262128	1.017435974	0.967862961	-0.001835434	-0.131627804	0.002228803
Abnormal_Spine_Curvature	1.53217347	-0.308835303	-0.713881954	-0.957317138	0.564280925	-0.570600058	1.593495798	0.777333058	0.124866971	2.406053488	2.015583844	1.760324034	1.388176206	0.44894642	0.685177871	-1.124921121	-0.469991287	0.126195721	0.434997415	-0.001246361
General_Hypertension	0.106658424	0.437537154	-0.568218628	0.005414461	1.016990487	0.230328525	-0.266250758	0.138563352	0.74497521	-0.654850529	-0.804004419	-0.102661304	0.348109333	0.20839702	-0.801934503	0.697497815	0.97192662	-0.058166317	-0.084427204	-0.006366123
General_Spondylosis_Spine_Disorder	1.159146617	0.883822349	-0.51454627	-0.752136351	-0.18708274	0.251387216	0.907638711	1.489650849	0.003796777	0.890719184	0.381930243	1.168136178	2.56071909	1.042004559	1.30419548	0.839879542	1.29525048	0.649673313	0.362605934	0.000411577
