ID	Class
Emphysema_COPD	Respiratory
Non-Specific_Pulmonary_Disorder	Respiratory
Sleep_Apnea	Respiratory
Bladder_Disorder	Urinary
Chronic_Kidney_Disease	Urinary
Nephrotic_Syndrome	Urinary
Non-Specific_Nephropathy	Urinary
Urethral_Disorder	Urinary
Urinary_Calculus	Urinary
Epilepsy_Related_Disorders	CNS
Hepatobiliary_Congenital_Anomaly	Development
Non-Specific_Digestive_Congenital_Anomaly	Development
Non-Specific_Neurologic_Congenital_Anomaly	Development
Oro-Facial_Congenital_Anomaly	Development
Pubertal_Dysfunction	Development
Respiratory_Congenital_Anomaly	Development
Appendiceal_Disease	Digestive
Diverticulosis_Diverticulitis	Digestive
Esophageal_Disease	Digestive
Functional_Digestive_Disorder	Digestive
Hirschsprungs_Disease	Digestive
Non-Specific_Gastrointestinal_Disorder	Digestive
