11078831	Head_Neck cancer	Streptococcus anginosus	increase	Oropharynx
18077362	Cystic fibrosis	Rickettsiales	increase	Bronchus
18077362	Cystic fibrosis	Staphylococcus aureus	increase	Bronchus
18077362	Cystic fibrosis	Stenotrophomonas maltophilia	increase	Bronchus
18077362	Cystic fibrosis	Streptococcus mitis	decrease	Bronchus
18326589	Obesity	Bifidobacterium	decrease	Gastrointestinal tract
18326589	Obesity	Staphylococcus aureus	increase	Gastrointestinal tract
18401439	Crohns disease	Bacteriodes uniformis	decrease	Gastrointestinal tract
18401439	Crohns disease	Bacteroides ovatus	increase	Gastrointestinal tract
18401439	Crohns disease	Bacteroides vulgatus	increase	Gastrointestinal tract
18487399	Bacterial vaginosis	Betaproteobacteria	increase	Vagina
18487399	Bacterial vaginosis	Candidate division TM7	increase	Vagina
18487399	Bacterial vaginosis	Clostridium	increase	Vagina
18487399	Bacterial vaginosis	Fusobacteria	increase	Vagina
18487399	Bacterial vaginosis	Lactobacillus	decrease	Vagina
18487399	Bacterial vaginosis	Megasphaera	increase	Vagina
18487399	Bacterial vaginosis	Olsenella	increase	Vagina
18487399	Bacterial vaginosis	Porphyromonas uenonis	increase	Vagina
18487399	Bacterial vaginosis	Shuttleworthia	increase	Vagina
18487399	Bacterial vaginosis	Streptobacillus	increase	Vagina
18616765	Psoriasis	Malassezia furfur	increase	Skin
18616765	Psoriasis	Malassezia globosa	decrease	Skin
18616765	Psoriasis	Malassezia restricta	increase	Skin
18616765	Psoriasis	Malassezia sympodialis	increase	Skin
18624900	Colorectal cancer	Enterococcus faecalis	increase	Gastrointestinal tract
18624900	Colorectal cancer	Eubacterium rectale	decrease	Gastrointestinal tract
18624900	Colorectal cancer	Faecalibacterium prausnitzii	decrease	Gastrointestinal tract
18648509	Psoriasis	Actinobacteria	decrease	Skin
18648509	Psoriasis	Firmicutes	increase	Skin
18648509	Psoriasis	Propionibacterium acnes	decrease	Skin
18648509	Psoriasis	Streptococcus	decrease	Skin
18716234	Acne	Propionibacterium acnes	decrease	Skin
18716234	Acne	Staphylococcus epidermidis	increase	Skin
18717638	Bacterial vaginosis	Acinetobacter	increase	Vagina
18717638	Bacterial vaginosis	Actinomycetaceae	increase	Vagina
18717638	Bacterial vaginosis	Allisonella	increase	Vagina
18717638	Bacterial vaginosis	Citrobacter	increase	Vagina
18717638	Bacterial vaginosis	Coriobacteriaceae	increase	Vagina
18717638	Bacterial vaginosis	Dialister	increase	Vagina
18717638	Bacterial vaginosis	Gardnerella	increase	Vagina
18717638	Bacterial vaginosis	Lachnospira	increase	Vagina
18717638	Bacterial vaginosis	Lactobacillus	decrease	Vagina
18717638	Bacterial vaginosis	Megasphaera	increase	Vagina
18717638	Bacterial vaginosis	Parvimonas	increase	Vagina
18717638	Bacterial vaginosis	Peptoniphilus	increase	Vagina
18717638	Bacterial vaginosis	Porphyromonas	increase	Vagina
18717638	Bacterial vaginosis	Prevotella	increase	Vagina
18717638	Bacterial vaginosis	Propionibacteriaceae	increase	Vagina
18717638	Bacterial vaginosis	Rhodobaca	increase	Vagina
18717638	Bacterial vaginosis	Sneathia	increase	Vagina
18779823	Obesity	Firmicutes	increase	Gastrointestinal tract
19043404	Obesity	Actinobacteria	increase	Gastrointestinal tract
19043404	Obesity	Bacteroidetes	decrease	Gastrointestinal tract
19164560	Obesity	Alcaligenaceae	increase	Gastrointestinal tract
19164560	Obesity	Coriobacteriaceae	increase	Gastrointestinal tract
19164560	Obesity	Erysipelotrichaceae	increase	Gastrointestinal tract
19164560	Obesity	Lachnospira	increase	Gastrointestinal tract
19164560	Obesity	Methanobrevibacter smithii	increase	Gastrointestinal tract
19164560	Obesity	Prevotellaceae	increase	Gastrointestinal tract
19235886	Crohns disease	Bifidobacterium	decrease	Gastrointestinal tract
19235886	Crohns disease	Blautia coccoides	decrease	Gastrointestinal tract
19235886	Crohns disease	Clostridium leptum	decrease	Gastrointestinal tract
19235886	Crohns disease	Enterobacteriaceae	increase	Gastrointestinal tract
19235886	Crohns disease	Faecalibacterium prausnitzii	decrease	Gastrointestinal tract
19235886	Crohns disease	Firmicutes	decrease	Gastrointestinal tract
19235886	Infective colitis	Bifidobacterium	decrease	Gastrointestinal tract
19235886	Infective colitis	Blautia coccoides	decrease	Gastrointestinal tract
19235886	Infective colitis	Clostridium leptum	decrease	Gastrointestinal tract
19235886	Infective colitis	Faecalibacterium prausnitzii	decrease	Gastrointestinal tract
19235886	Ulcerative colitis	Bifidobacterium	decrease	Gastrointestinal tract
19235886	Ulcerative colitis	Blautia coccoides	decrease	Gastrointestinal tract
19235886	Ulcerative colitis	Clostridium leptum	decrease	Gastrointestinal tract
19235886	Ulcerative colitis	Faecalibacterium prausnitzii	decrease	Gastrointestinal tract
19235912	Crohns disease	Escherichia coli	increase	Colonic tissue
19369970	Necrotizing enterocolitis	Enterobacter aerogenes	increase	Gastrointestinal tract
19369970	Necrotizing enterocolitis	Enterobacter hormaechei	decrease	Gastrointestinal tract
19369970	Necrotizing enterocolitis	Enterococcus	increase	Gastrointestinal tract
19369970	Necrotizing enterocolitis	Firmicutes	decrease	Gastrointestinal tract
19369970	Necrotizing enterocolitis	Gammaproteobacteria	increase	Gastrointestinal tract
19369970	Necrotizing enterocolitis	Klebsiella pneumoniae	decrease	Gastrointestinal tract
19369970	Necrotizing enterocolitis	Proteobacteria	increase	Gastrointestinal tract
19369970	Necrotizing enterocolitis	Shigella dysenteriae	decrease	Gastrointestinal tract
19369970	Necrotizing enterocolitis	Staphylococcus	increase	Gastrointestinal tract
19369970	Necrotizing enterocolitis	Veillonella	increase	Gastrointestinal tract
19498350	Obesity	Bacteroidetes	decrease	Gastrointestinal tract
19498350	Obesity	Bifidobacterium	decrease	Gastrointestinal tract
19498350	Obesity	Clostridium leptum	decrease	Gastrointestinal tract
19498350	Obesity	Firmicutes	increase	Gastrointestinal tract
19498350	Obesity	Methanobrevibacter	decrease	Gastrointestinal tract
19498350	Obesity	Ruminococcus flavefaciens	decrease	Gastrointestinal tract
19533811	Irritable bowel syndrome	Bifidobacterium catenulatum	decrease	Gastrointestinal tract
19533811	Irritable bowel syndrome	Clostridium lituseburense	decrease	Gastrointestinal tract
19567398	Chronic fatigue syndrome	Enterococcus faecalis	increase	Gastrointestinal tract
19567398	Chronic fatigue syndrome	Streptococcus sanguinis	increase	Gastrointestinal tract
19587155	Obesity	Aggregatibacter actinomycetemcomitans	increase	Saliva
19587155	Obesity	Campylobacter rectus	increase	Saliva
19587155	Obesity	Capnocytophaga gingivalis	increase	Saliva
19587155	Obesity	Capnocytophaga ochracea	increase	Saliva
19587155	Obesity	Capnocytophaga sputigena	increase	Saliva
19587155	Obesity	Eikenella corrodens	decrease	Saliva
19587155	Obesity	Fusobacterium nucleatum	increase	Saliva
19587155	Obesity	Fusobacterium periodonticum	increase	Saliva
19587155	Obesity	Neisseria mucosa	increase	Saliva
19587155	Obesity	Peptostreptococcus micros	increase	Saliva
19587155	Obesity	Porphyromonas gingivalis	increase	Saliva
19587155	Obesity	Prevotella intermedia	increase	Saliva
19587155	Obesity	Prevotella melaninogenica	increase	Saliva
19587155	Obesity	Prevotella nigrescens	increase	Saliva
19587155	Obesity	Selenomonas noxia	increase	Saliva
19587155	Obesity	Streptococcus anginosus	increase	Saliva
19587155	Obesity	Streptococcus constellatus	increase	Saliva
19587155	Obesity	Streptococcus gordonii	increase	Saliva
19587155	Obesity	Streptococcus intermedius	increase	Saliva
19587155	Obesity	Streptococcus mitis	increase	Saliva
19587155	Obesity	Streptococcus oralis	increase	Saliva
19587155	Obesity	Streptococcus sanguinis	increase	Saliva
19587155	Obesity	Tanerella forsythia	increase	Saliva
19587155	Obesity	Treponema denticola	increase	Saliva
19587155	Obesity	Treponema socranskii	increase	Saliva
19587155	Obesity	Veillonella parvula	increase	Saliva
19617766	Pouchitis	Desulfosporosinus	increase	Gastrointestinal tract
19617766	Pouchitis	Leptospira	increase	Gastrointestinal tract
19617766	Pouchitis	Methylobacter	increase	Gastrointestinal tract
19617766	Pouchitis	Microcystis	increase	Gastrointestinal tract
19617766	Pouchitis	Pseudoalteromonas	increase	Gastrointestinal tract
19649281	Type 2 diabetes	Streptococcaceae	increase	Skin
19722792	Periodontitis	Acidaminococcus	increase	Tooth
19722792	Periodontitis	Actinomyces	decrease	Tooth
19722792	Periodontitis	Brevundimonas diminuta	increase	Tooth
19722792	Periodontitis	Bulleidia moorei	increase	Tooth
19722792	Periodontitis	Campylobacter gracilis	increase	Tooth
19722792	Periodontitis	Capnocytophaga sputigena	decrease	Tooth
19722792	Periodontitis	Cardiobacterium hominis	decrease	Tooth
19722792	Periodontitis	Dialister pneumosintes	increase	Tooth
19722792	Periodontitis	Eikenella corrodens	increase	Tooth
19722792	Periodontitis	Eubacterium nodatum	increase	Tooth
19722792	Periodontitis	Filifactor alocis	increase	Tooth
19722792	Periodontitis	Granulicatella adiacens	increase	Tooth
19722792	Periodontitis	Haemophilus parainfluenzae	decrease	Tooth
19722792	Periodontitis	Lautropia mirabilis	decrease	Tooth
19722792	Periodontitis	Mogibacterium timidum	increase	Tooth
19722792	Periodontitis	MycoBlood salivarium	increase	Tooth
19722792	Periodontitis	Parvimonas micra	increase	Tooth
19722792	Periodontitis	Porphyromonas gingivalis	increase	Tooth
19722792	Periodontitis	Prevotella	increase	Tooth
19722792	Periodontitis	Pseudopropionibacterium propionicum	decrease	Tooth
19722792	Periodontitis	Pseudoramibacter alactolyticus	increase	Tooth
19722792	Periodontitis	Rothia dentocariosa	decrease	Tooth
19722792	Periodontitis	Selenomonas noxia	increase	Tooth
19722792	Periodontitis	Shuttleworthia satelles	increase	Tooth
19722792	Periodontitis	Streptococcus sanguinis	decrease	Tooth
19722792	Periodontitis	Synergistes	increase	Tooth
19722792	Periodontitis	Tanerella forsythia	increase	Tooth
19722792	Periodontitis	TM7	increase	Tooth
19722792	Periodontitis	Treponema	increase	Tooth
19722792	Periodontitis	Veillonella atypica	increase	Tooth
19783002	Systemic inflammatory response syndrome	Enterococcus	increase	Gastrointestinal tract
19783002	Systemic inflammatory response syndrome	Klebsiella	decrease	Gastrointestinal tract
19849869	Obesity	Faecalibacterium prausnitzii	increase	Gastrointestinal tract
20027045	Preterm birth	Atopobium vaginae	increase	Vagina
20027045	Preterm birth	Gardnerella Vaginais	increase	Vagina
20052417	Asthma	Bacteroidetes	decrease	Bronchus
20052417	Asthma	Haemophilus	increase	Bronchus
20052417	Asthma	Prevotella	decrease	Bronchus
20052417	Asthma	Proteobacteria	increase	Bronchus
20052417	Asthma	Staphylococcus	increase	Bronchus
20052417	COPD	Bacteroidetes	decrease	Bronchus
20052417	COPD	Haemophilus	increase	Bronchus
20052417	COPD	Prevotella	decrease	Bronchus
20052417	COPD	Proteobacteria	increase	Bronchus
20140211	Type 2 diabetes	Bacilli	increase	Gastrointestinal tract
20140211	Type 2 diabetes	Bacteroidetes	increase	Gastrointestinal tract
20140211	Type 2 diabetes	Betaproteobacteria	increase	Gastrointestinal tract
20140211	Type 2 diabetes	Clostridium	decrease	Gastrointestinal tract
20140211	Type 2 diabetes	Firmicutes	decrease	Gastrointestinal tract
20140211	Type 2 diabetes	Lactobacillus	increase	Gastrointestinal tract
20140211	Type 2 diabetes	Prevotella	increase	Gastrointestinal tract
20140211	Type 2 diabetes	Roseburia	increase	Gastrointestinal tract
20172013	Short Bowel Syndrome	Bacteroidetes	decrease	Gastrointestinal tract
20172013	Short Bowel Syndrome	Clostridium coccoides group	decrease	Gastrointestinal tract
20172013	Short Bowel Syndrome	Clostridium leptum	decrease	Gastrointestinal tract
20172013	Short Bowel Syndrome	Lactobacilli	increase	Gastrointestinal tract
20181275	Celiac Disease	Bacteroides-Prevotella group	increase	Gastrointestinal tract
20181275	Celiac Disease	Bifidobacterium	decrease	Gastrointestinal tract
20181275	Celiac Disease	Clostridium lituseburense	decrease	Gastrointestinal tract
20181275	Celiac Disease	Faecalibacterium prausnitzii	decrease	Gastrointestinal tract
20181275	Celiac Disease	Hathewaya histolytica	decrease	Gastrointestinal tract
20181275	Celiac Disease	Staphylococcus	decrease	Gastrointestinal tract
20565734	Celiac Disease	Bacteroides vulgatus	increase	Gastrointestinal tract
20565734	Celiac Disease	Escherichia coli	increase	Gastrointestinal tract
20565734	Celiac Disease	Parabacteroides distasonis	increase	Gastrointestinal tract
20603222	Autism	Bacteroides stercoris	increase	Gastrointestinal tract
20603222	Autism	Bacteroides vulgatus	increase	Gastrointestinal tract
20603222	Autism	Bifidobacterium angulatum	decrease	Gastrointestinal tract
20603222	Autism	Bifidobacterium	decrease	Gastrointestinal tract
20603222	Autism	Bifidobacterium longum	decrease	Gastrointestinal tract
20603222	Autism	Clostridium hathewayi	increase	Gastrointestinal tract
20603222	Autism	Clostridium leptum	decrease	Gastrointestinal tract
20603222	Autism	Clostridium methylpentosum	decrease	Gastrointestinal tract
20603222	Autism	Collinsella	decrease	Gastrointestinal tract
20603222	Autism	Dialister invisus	decrease	Gastrointestinal tract
20603222	Autism	Eubacterium eligens	increase	Gastrointestinal tract
20603222	Autism	Eubacterium ruminantium	decrease	Gastrointestinal tract
20603222	Autism	Flavonifractor plautii	increase	Gastrointestinal tract
20603222	Autism	Parabacteroides distasonis	increase	Gastrointestinal tract
20603222	Autism	Phascolarctobacterium faecium	decrease	Gastrointestinal tract
20603222	Autism	Prevotella oulorum	increase	Gastrointestinal tract
20603222	Autism	Roseburia intestinalis	decrease	Gastrointestinal tract
20603222	Autism	Sporobacter termitidis	increase	Gastrointestinal tract
20613793	Type 1 diabetes	Bacteriodes uniformis	increase	Gastrointestinal tract
20613793	Type 1 diabetes	Bacteroides fragilis	decrease	Gastrointestinal tract
20613793	Type 1 diabetes	Bacteroides	increase	Gastrointestinal tract
20613793	Type 1 diabetes	Bacteroides ovatus	increase	Gastrointestinal tract
20613793	Type 1 diabetes	Bacteroides thetaiotaomicron	increase	Gastrointestinal tract
20613793	Type 1 diabetes	Bacteroides vulgatus	decrease	Gastrointestinal tract
20613793	Type 1 diabetes	Clostridia	decrease	Gastrointestinal tract
20613793	Type 1 diabetes	Eubacterium eligens	decrease	Gastrointestinal tract
20613793	Type 1 diabetes	Eubacterium rectale	decrease	Gastrointestinal tract
20613793	Type 1 diabetes	Faecalibacterium prausnitzii	decrease	Gastrointestinal tract
20613793	Type 1 diabetes	Human intestinal firmicute CB47	decrease	Gastrointestinal tract
20613793	Type 1 diabetes	Human intestinal firmicute CO19	decrease	Gastrointestinal tract
20613793	Type 1 diabetes	Lachnospiraceae	decrease	Gastrointestinal tract
20613793	Type 1 diabetes	Porphyromonadaceae	decrease	Gastrointestinal tract
20613793	Type 1 diabetes	Rikenellaceae	increase	Gastrointestinal tract
20613793	Type 1 diabetes	Ruminococcaceae	decrease	Gastrointestinal tract
20648002	Crohns disease	Akkermansia muciniphila	decrease	Colorectum
20648002	Crohns disease	Ruminococcus gnavus	increase	Colorectum
20648002	Crohns disease	Ruminococcus torques	increase	Colorectum
20648002	Ulcerative colitis	Akkermansia muciniphila	decrease	Colorectum
20648002	Ulcerative colitis	Ruminococcus gnavus	increase	Colorectum
20648002	Ulcerative colitis	Ruminococcus torques	increase	Colorectum
20722058	Crohns disease	Enterococcus faecium	increase	Gastrointestinal tract
20722058	Crohns disease	Escherichia coli	increase	Gastrointestinal tract
20740058	Colon adenomas	Bacteroides	decrease	Colorectum
20740058	Colon adenomas	Coprococcus	decrease	Colorectum
20740058	Colon adenomas	Dorea	increase	Colorectum
20740058	Colon adenomas	Faecalibacterium	increase	Colorectum
20740058	Colon adenomas	Ruminococcus	increase	Colorectum
20740058	Colon adenomas	Shigella	increase	Colorectum
20816835	Crohns disease	Acidaminococcus	increase	Gastrointestinal tract
20816835	Crohns disease	Aeromonas	increase	Gastrointestinal tract
20816835	Crohns disease	Anaerovorax	increase	Gastrointestinal tract
20816835	Crohns disease	Bifidobacterium	increase	Gastrointestinal tract
20816835	Crohns disease	Citrobacter	increase	Gastrointestinal tract
20816835	Crohns disease	Collinsella	increase	Gastrointestinal tract
20816835	Crohns disease	Hallella	decrease	Gastrointestinal tract
20816835	Crohns disease	Lactobacillus	increase	Gastrointestinal tract
20816835	Crohns disease	Lactococcus	decrease	Gastrointestinal tract
20816835	Crohns disease	Peptococcus	decrease	Gastrointestinal tract
20816835	Crohns disease	Roseburia	decrease	Gastrointestinal tract
20816835	Crohns disease	Ruminococcus	increase	Gastrointestinal tract
20816835	Crohns disease	Shigella	increase	Gastrointestinal tract
20816835	Ulcerative colitis	AsteroleBlood	decrease	Gastrointestinal tract
20816835	Ulcerative colitis	Catenibacterium	decrease	Gastrointestinal tract
20816835	Ulcerative colitis	Prevotella	decrease	Gastrointestinal tract
20816835	Ulcerative colitis	Streptococcus	decrease	Gastrointestinal tract
20819230	Bacterial vaginosis	Actinobacteria	increase	Vagina
20819230	Bacterial vaginosis	Aerococcus	increase	Vagina
20819230	Bacterial vaginosis	Alloiococcus	decrease	Vagina
20819230	Bacterial vaginosis	Atopobium	increase	Vagina
