#Items	Summary ID
AA amyloidosis	Unspecified_Amyloidosis
Juvenile idiopathic arthritis	Rheumatoid_Arthritis_Related_Conditions
Kaposis sarcoma	Kaposis_Sarcoma
Keratitis	Eye_Inflammation
Kidney stone	Urinary_Calculus
Kostmann syndrome	Congenital_Neutropenia
Laryngeal cancer	Oro-Naso-Pharyngeal_Cancer
Laryngotracheal stenosis	Respiratory_Congenital_Anomaly
Late-onset Sepsis	Gestational_Pregnancy_Related_Disorder
Liver cirrhosis	Non-Specific_Liver_Disease
Liver fibrosis	Liver fibrosis
Lower respiratory tract infection	Acute_Bronchitis
Lung cancer	Lung_Cancer
Macular degeneration	Macular_Degeneration
Major depressive disorder	Depression
Malnutrition	Malnutrition
Maturity-onset diabetes of the young 2	Type_II_Diabetes_Mellitus
Megaesophagus	Esophageal_Disease
Melasma	Melanoma
Membranous nephropathy	Non-Specific_Nephropathy
Meningococcal disease	General_Bacterial_Infection
Metabolic syndrome	Metabolic_Syndrome_X
Microscopic colitis	Microscopic colitis
Migraine	Migraine
Mucosa-associated lymphoid tissue lymphoma	Non-Hodgkins_Lymphoma
Multiple sclerosis	Multiple_Sclerosis_Other_Demyelinating_Disease
Multiple system atrophy	Motor_Neuron_Disease
Myasthenia gravis	Myasthenia_Gravis
Myositis	Dermatomyositis_Polymyositis
Nasolacrimal duct obstruction	Lacrimal_System_Disorder
Necrotizing enterocolitis	Neonatal_Disease
Neisseria gonorrhoeae infection	Gestational_Pregnancy_Related_Disorder
Neonatal jaundice	Neonatal_Disease
Neuromyelitis optica	Multiple_Sclerosis_Other_Demyelinating_Disease
Neuropathic bladder	Unspecified_Neuropathy
Nonalcoholic fatty liver	Chronic_Liver_Disease
Nonalcoholic steatohepatitis	Chronic_Liver_Disease
Nongonococcal urethritis	STI
Obesity	Obesity Metabolic
Obstructive sleep apnea-hypopnea syndrome	Sleep_Apnea
Oligoasthenoteratozoospermia	Disease_of_the_Male_Reproductive_Organs
Oral cancer	Oro-Naso-Pharyngeal_Cancer
Oral leukoplakia	Oral_Soft_Tissue_Disease
Oral lichen planus	Lichen
Oral potentially malignant disorder	Oro-Naso-Pharyngeal_Cancer
Orofacial granulomatosis	Oro-Naso-Pharyngeal_Cancer
Oropharyngeal cancer	Benign_Oropharyngeal_Neoplasm
Osmotic diarrhea	Functional_Digestive_Disorder
Osteoporosis	Osteoporosis
Otitis Media	Ear_Infection
Overactive bladder	Bladder_Disorder
Palmoplantar pustulosis	Psoriasis_Related_Disorders
Pancreatic cancer	Pancreatic_Cancer
Pancreatic head cancer	Pancreatic_Cancer
Pancreatitis	Pancreatic_Disease
Parkinsons Disease	Parkinsons_Disease
Pediculosis	Infestation
Pelvic inflammatory disease	Disease_of_the_Female_Reproductive_Organs
Pemphigus vulgaris	Non-Specific_Immune-Related_Skin_Disorder
Periodontitis	Non-Specific_Gingival_Periodontal_Disorder
Persistent stunting	Growth_Hormone_Deficiency
Pervasive developmental disorder NOS	Unspecified_Childhood_Psychoses
Pneumonia	Pneumonia
Polycystic Ovary Syndrome	Disease_of_the_Female_Reproductive_Organs
Postmenopausal	Menopausal_Disorder
Posttraumatic stress syndrome	PTSD
Pouchitis	Non-Specific_Gastrointestinal_Disorder
Prediabetes	Unspecified_Diabetes_Mellitus
Preeclamsia	Gestational_Pregnancy_Related_Disorder
Pressure ulcers	Spirochetal_Infection
Preterm birth	Gestational_Pregnancy_Related_Disorder
Primary aldosteronism	Hyperaldosteronism
Primary biliary cholangitis	Biliary_Tract_Disease
Primary biliary cirrhosis	Biliary_Tract_Disease
Primary immune thrombocytopenia	General_Thrombocytopenia
Primary liver cancer	Hepatobiliary_Cancer
Primary Open-Angle Glaucoma	Glaucoma
Primary sclerosing cholangitis	Biliary_Tract_Disease
Protracted bacterial bronchitis	Acute_Bronchitis
Psoriasis	Psoriasis_Related_Disorders
Psoriatic arthritis	Psoriasis_Related_Disorders
Pulmonary arterial hypertension	Pulmonary_Heart_Disease
Pulmonary tubercolosis	Tuberculosis
Reactive arthritis	Reactive_Arthritis
Rectal Carcinoma	Colorectal_Cancer
Recurrent aphthous stomatitis	Oral_Soft_Tissue_Disease
Recurrent miscarriage	Gestational_Pregnancy_Related_Disorder
Recurrent tonsillitis	Chronic_Tonsillitis_Adenoiditis
Recurrent wheeze	Asthma
Refractory celiac disease	Celiac_Disease
Rett Syndrome	Non-Specific_Neurologic_Congenital_Anomaly
Rheumatoid arthritis	Rheumatoid_Arthritis_Related_Conditions
Rhinitis	Allergic_Rhinitis
Rhinovirus infection	General_Viral_Infection
Rosacea	Rosacea
Schizophrenia	Schizophrenia_Related_Psychosis
Seborrheic dermatitis	Seborrheic_Dermatitis
Seminal hyperviscosity	Disease_of_the_Male_Reproductive_Organs
Sensitive scalp	Fungal_Infection
Sepsis	Gestational_Pregnancy_Related_Disorder
Severe congenital neutropenia	Congenital_Neutropenia
Severe fever with thrombocytopenia syndrome	General_Thrombocytopenia
severe skin and soft tissue infections	Non-Specific_Soft_Tissue_Disorder
Shiga Toxin-producing E. coli infection	Escherichia_Coli_Infection
Short Bowel Syndrome	Functional_Digestive_Disorder
Sicca syndrome	Sjogrens_Syndrome
Sickle cell disease	Hereditary_Hemoglobin_Disease
Silicosis	Non-Specific_Pulmonary_Disorder
Sjögren Syndrome	Sjogrens_Syndrome
Small intestine neoplasm	Intestinal_Cancer
Spinal cord injury	Spinal_Chord_Degeneration
Spleen deficiency syndrome	Spleen_Disease
Spondyloarthritis	General_Spondylosis_Spine_Disorder
Stevens-Johnson syndrome	Non-Specific_Immune-Related_Skin_Disorder
Stomach cancer	Stomach_Cancer
Systemic inflammatory response syndrome	Septicemia
Systemic lupus erythematosus	Lupus_Erythematosus
Systemic sclerosis	Non-Specific_Pulmonary_Disorder
Tetratricopeptide repeat domain 7A deficiency	Non-Specific_Digestive_Congenital_Anomaly
Thyroid cancer	Thyroid_Cancer
Tongue cancer	Oro-Naso-Pharyngeal_Cancer
Tonsillar hypertrophy	Chronic_Tonsillitis_Adenoiditis
Trachoma	Eye_Infection
Transient Ischemic Attack	Brain_Damage
Traumatic Brain Injury	Brain_Damage
Trichomonas Vaginais	Disease_of_the_Female_Reproductive_Organs
Tuberculosis	Tuberculosis
Type 1 diabetes	Type_I_Diabetes_Mellitus
Type 2 diabetes	Type_II_Diabetes_Mellitus
Ulcerative colitis	Ulcerative_Colitis
Undernourishment	Malnutrition
Urgency urinary incontinence	Urethral_Disorder
Urogenital Schistosomiasis	Parasitic_Infection
Urolithiasis	Urinary_Calculus
Uveitits	Eye_Inflammation
Vestibulodynia	Disease_of_the_Female_Reproductive_Organs
Viral Diarrhea	Gastrointestinal_Infection
Viral respiratory tract infection	Upper_Respiratory_Inflammation
Vitiligo	Dyschromia
Vogt-Koyagani-Harada disease	Eye_Inflammation
Vulvar vestibulitis syndrome	Disease_of_the_Female_Reproductive_Organs
Vulvodynia	Disease_of_the_Female_Reproductive_Organs
Whipples disease	General_Bacterial_Infection
Wilsons Disease	Copper_Metabolism_Disorder
Wiskott-Aldrich syndrome	Wiskott-Aldrich_Syndrome
X-linked inhibitor of apoptosis deficiency	Autoimmune_Lymphoproliferative_Syndrome
