Disease Summary Name	General System	Applicable Gender	Monogenic Inheritance	ICD9 Codes	ICD9 Strings
Ocular_Musculoskeletal_Disorder	CNS	Both	FALSE	378.20|378.21|378.22|378.23|378.24|379.4|379.5|378.35|378.34|378.33|378.32|378.31|378.30|378|378.42|378.43|378.40|378.41|378.44|378.45|379.56|379.57|379.54|379.55|379.52|379.53|379.50|379.51|379.58|379.59|378.51|378.50|378.53|378.52|378.55|378.54|378.56|379.45|379.46|379.41|379.40|379.43|379.42|379.49|378.60|378.61|378.62|378.63|378.86|378.87|378.84|378.85|378.82|378.83|378.81|374.3|378.73|378.71|374.33|374.32|374.31|374.30|374.34|378.08|378.06|378.07|378.04|378.05|378.02|378.03|378.00|378.01|378.9|378.8|378.5|378.4|378.7|378.6|378.1|378.0|378.3|378.2|378.18|378.15|378.14|378.17|378.16|378.11|378.10|378.13|378.12	Dissociated nystagmus|"Nystagmus associated with disorders of the vestibular system"|"Convergence insufficiency or palsy"|"Fourth or trochlear nerve palsy"|"Other forms of nystagmus"|"Alternating hyperphoria"|"Ptosis of eyelid unspecified"|"Alternating esotropia with other noncomitancies"|"Mydriasis (persistent), not due to mydriatics"|"External ophthalmoplegia"|"Heterotropia NOS"|"Other and unspecified heterotropia"|"Monocular esotropia"|"Exotropia"|"Deficiencies of smooth pursuit movements"|"Brown's (tendon) sheath syndrome"|"Paralytic strabismus NOS"|"Tonic pupillary reaction"|"Other specified strabismus"|"Latent nystagmus"|"Intermittent heterotropia, unspecified"|"Anomalies of pupillary function"|"Monocular esotropia with A pattern"|"Heterophoria"|"Hypotropia"|"Congenital nystagmus"|"Internuclear ophthalmoplegia"|"Monofixation syndrome"|"Third or oculomotor nerve palsy, total"|"Anomalies of divergence"|"Strabismus in other neuromuscular disorders"|"Blepharochalasis"|"Palsy of conjugate gaze"|"Deficiencies of saccadic eye movements"|"Argyll Robertson pupil, atypical"|"Mechanical strabismus, unspecified"|"Mechanical ptosis"|"Other irregularities of eye movements"|"Miosis (persistent), not due to miotics"|"Other anomalies of pupillary function"|"Exophoria"|"Esotropia NOS"|"Exotropia NOS"|"Anisocoria"|"Third or oculomotor nerve palsy, partial"|"Nystagmus NOS"|"Alternating esotropia"|"Alternating esotropia with A pattern"|"Mechanical strabismus from other musculofascial disorders"|"Paralytic ptosis"|"Vertical heterophoria"|"Unspecified disorder of eye movements"|"Intermittent exotropia, alternating"|"Heterophoria NOS"|"Other disorders of binocular eye movements"|"Alternating exotropia with A pattern"|"Alternating exotropia with other noncomitancies"|"Limited duction associated with other conditions"|"Monocular exotropia with V pattern"|"Convergence excess or spasm"|"Monocular exotropia with other noncomitancies"|"Cyclotropia"|"Alternating exotropia with V pattern"|"Nystagmus and other irregular eye movements"|"Esophoria"|"Accommodative component in esotropia"|"Monocular esotropia with other noncomitancies"|"Ptosis of eyelid"|"Cyclophoria"|"Monocular exotropia"|"Abnormal pupillary function, unspecified"|"Spasm of conjugate gaze"|"Esotropia"|"Alternating exotropia"|"Other dissociated deviation of eye movements"|"Paralytic strabismus"|"Intermittent exotropia, monocular"|"Alternating esotropia with V pattern"|"Visual deprivation nystagmus"|"Sixth or abducens nerve palsy"|"Monocular esotropia with V pattern"|"Intermittent esotropia, monocular"|"Myogenic ptosis"|"Strabismus and other disorders of binocular eye movements"|"Hypertropia"|"Intermittent esotropia, alternating"|"Intermittent heterotropia"|"Mechanical strabismus"|"Monocular exotropia with A pattern"|"Duane's syndrome"|"Total ophthalmoplegia"
Parkinsons_Disease	CNS	Both	FALSE	332.0|332.00|332	Parkinson's disease|"Paralysis agitans **"|"Paralysis agitans"
Refsums_Disease	CNS	Both	TRUE	356.3	Refsum's disease
Specified_Childhood_Cerebral_Degeneration	CNS	Both	TRUE	330.8	Other specified cerebral degenerations in childhood
Spinal_Chord_Degeneration	CNS	Both	FALSE	336|336.3|336.2|336.1|336.0|336.9|336.8	Other myelopathy|"Myelopathy in other diseases classified elsewhere"|"Spinal cord disease NOS"|"Vascular myelopathies"|"Subacute combined degeneration of spinal cord in diseases classified elsewhere"|"Other diseases of spinal cord"|"Syringomyelia and syringobulbia"
Spinal_Muscular_Atrophy	CNS	Both	TRUE	335.0|335.1|335.10|335.11|335.19	Spinal muscular atrophy|"Werdnig-Hoffmann disease"|"Spinal muscular atrophy, unspecified"|"Other spinal muscular atrophy"|"Kugelberg-Welander disease"
Spinocerebellar_Ataxia	CNS	Both	TRUE	334.8	Other spinocerebellar diseases
Unspecified_Cerebellar_Disease	CNS	Both	FALSE	334.4|334.9|334.3|334.2	Other cerebellar ataxia|"Cerebellar ataxia in diseases classified elsewhere"|"Primary cerebellar degeneration"|"Spinocerebellar disease, unspecified"
Unspecified_Childhood_Cerebral_Degeneration	CNS	Both	FALSE	330.9	Unspecified cerebral degeneration in childhood
Unspecified_Encephalopathy	CNS	Both	FALSE	349.9|348.39|348.9|349.8|348.30|348.31|332.1|349.2|348.3|349.82|349.89|348.81|331.4|331.5|349.81|331.3	Other specified disorders of nervous system|"Other encephalopathy"|"Temporal sclerosis (ADDED)"|"Encephalopathy, not elsewhere classified"|"Toxic encephalopathy"|"Cerebrospinal fluid rhinorrhea"|"Secondary Parkinsonism"|"Idiopathic normal pressure hydrocephalus (INPH)"|"Encephalopathy NOS"|"Communicating hydrocephalus"|"Disorders of meninges, not elsewhere classified"|"Obstructive hydrocephalus"|"Metabolic encephalopathy"|"Unspecified disorders of nervous system"|"Unspecified condition of brain"
Aneurysm	Cardiovascular	Both	FALSE	442.89|441.6|442.84|442.82|442.83|442.8|441.03|441.02|441.01|441.00|441|414.19|414.12|442|414.10|414.11|447.70|447.71|447.72|447.73|414.1|442.81|441.9|442.1|442.0|442.3|442.2|441.2|441.3|441.0|441.1|442.9|441.7|441.4|441.5|437.3|447.7	Other aneurysm|"Aneurysm and dissection of heart"|"Dissection of aorta thoracic"|"Other aneurysm of heart"|"Aortic aneurysm of unspecified site, ruptured"|"Aortic aneurysm and dissection"|"Dissecting aneurysm of abdominal aorta"|"Aortic ectasia"|"Dissecting aneurysm of aorta"|"Aneurysm of artery of neck"|"Dissecting aneurysm of thoracoabdominal aorta"|"Aneurysm of artery of lower extremity"|"Abdominal aortic aneurysm without mention of rupture"|"Thoracic aortic aneurysm, ruptured"|"Aneurysm of other specified artery"|"Aortic aneurysm NOS"|"Thoracic aortic ectasia"|"Abdominal aortic aneurysm, ruptured"|"Dissecting aneurysm of aorta, unspecified site"|"Thoracoabdominal aortic aneurysm, ruptured"|"Aneurysm of heart (wall)"|"Aneurysm of subclavian artery"|"Aneurysm of artery of upper extremity"|"Thoracic aneurysm without rupture"|"Aneurysm of coronary vessels"|"Cerebral aneurysm, nonruptured"|"Dissection of coronary artery"|"Thoracoabdominal aortic ectasia"|"Aneurysm NOS"|"Aortic ectasia, unspecified site "|"Abdominal aortic ectasia"|"Aneurysm of other specified site"|"Aneurysm of renal artery"|"Thoracoabdominal aortic aneurysm, without mention of rupture"|"Aneurysm of iliac artery"|"Aneurysm of splenic artery"|"Aneurysm of other visceral artery"
Arterial_Dissection	Cardiovascular	Both	FALSE	443.29|443.23|443.22|443.21|443.24|443.2	Dissection of carotid artery|"Other arterial dissection"|"Dissection of other artery"|"Dissection of iliac artery"|"Dissection of vertebral artery"|"Dissection of renal artery"
Arterial_Embolism_Thrombosis	Cardiovascular	Both	FALSE	444.9|444.8|444.81|444.2|444.1|444.0|444.89|444|444.22|444.21	Embolism and thrombosis of arteries of the extremities|"Embolism and thrombosis of thoracic aorta"|"Embolism and thrombosis of abdominal aorta"|"Arterial embolism and thrombosis of upper extremity"|"Embolism and thrombosis of unspecified artery"|"Arterial embolism and thrombosis"|"Embolism and thrombosis of other artery"|"Embolism and thrombosis of iliac artery"|"Arterial embolism and thrombosis of lower extremity"|"Embolism and thrombosis of other specified artery"
Atherosclerosis	Cardiovascular	Both	FALSE	445.81|440.31|440.30|440.32|414.01|414.00|414.03|414.02|414.05|414.04|414.07|414.06|445.89|411.81|445.02|445.01|440.24|440.22|440.23|440.20|440.21|440|445|440.29|414.0|414.2|440.4|440.3|440.2|440.1|440.0|440.9|440.8|445.8|445.0|414.3|414.4	Atherosclerosis of autologous vein bypass graft of the extremities|"Atheroembolism of other sites"|"Atherosclerosis of native arteries of the extremities, unspecified"|"Coronary atherosclerosis of nonautologous biological bypass graft"|"Atheroembolism of kidney"|"Coronary atherosclerosis of native coronary artery"|"Coronary atherosclerosis of unspecified type of bypass graft"|"Atherosclerosis"|"Atherosclerosis of native arteries of the extremities"|"Atherosclerosis of renal artery"|"Atheroembolism of lower extremity"|"Atherosclerosis of the extremities with rest pain"|"Atheroembolism of other site"|"Coronary atherosclerosis of unspecified type of vessel, native or graft"|"Atherosclerosis NOS"|"Chronic total occlusion of artery of the extremities"|"Coronary atherosclerosis of autologous biological bypass graft"|"Coronary atherosclerosis of native coronary artery of transplanted heart"|"Atherosclerosis of aorta"|"Atherosclerosis of nonautologous vein bypass graft of the extremities"|"Atherosclerosis of native arteries of the extremities with gangrene"|"Coronary atherosclerosis due to calcified coronary lesion"|"Coronary atherosclerosis due to lipid rich plaque"|"Coronary atherosclerosis"|"Atheroembolism of upper extremity"|"Atheroembolism"|"Coronary atherosclerosis of bypass graft (artery) (vein) of transplanted heart"|"Acute coronary occlusion without myocardial infarction"|"Atherosclerosis of native arteries of the extremities with ulceration"|"Chronic total occlusion of coronary artery"|"Atherosclerosis of bypass graft of the extremities, unspecified graft"|"Atherosclerosis of native arteries of the extremities with intermittent claudication"|"Atherosclerosis of bypass graft of the extremities"|"Atherosclerosis of other specified arteries"|"Atheroembolism Of extremities"|"Atherosclerosis of other native arteries of the extremities"|"Coronary atherosclerosis of artery bypass graft"
Cardiac_Conduction_Disorder	Cardiovascular	Both	FALSE	426.54|426.53|426.52|426.51|426.50|426.13|426.12|426.11|426.10|426.89|426.9|426.8|426.81|426.3|426.2|426.1|426.0|426.7|426.6|426.5|426.4	Other heart block|"Left bundle branch hemiblock"|"Bundle branch block NOS"|"Other bilateral bundle branch block"|"Right bundle branch block"|"Atrioventricular block, other and unspecified"|"Atrioventricular block, unspecified"|"First degree atrioventricular block"|"Right bundle branch block and left posterior fascicular block"|"Right bundle branch block and left anterior fascicular block"|"Bundle branch block, other and unspecified"|"Lown-Ganong-Levine syndrome"|"Atrioventricular block, complete"|"Trifascicular block"|"Other specified conduction disorders"|"Other left bundle branch block"|"Conduction disorder NOS"|"Other second degree atrioventricular block"|"Mobitz (type) II atrioventricular block"|"Anomalous atrioventricular excitation"
Cardiac_Dysrhythmia	Cardiovascular	Both	FALSE	427.61|427.60|427.5|427.89|427.69|427.32|427.41|427.9|427.81|427.8|427.42|427.6|427.4|427.31|427.2|427.3|427.0|427.1	Paroxysmal ventricular tachycardia|"Ventricular fibrillation and flutter"|"Cardiac dysrhythmia NOS"|"Atrial flutter"|"Atrial fibrillation and flutter"|"Other specified cardiac dysrhythmias"|"Cardiac arrest"|"Paroxysmal supraventricular tachycardia"|"Supraventricular premature beats"|"Sinoatrial node dysfunction"|"Paroxysmal tachycardia, unspecified"|"Other premature beats"|"Premature beats"|"Ventricular fibrillation"|"Premature beats NOS"|"Ventricular flutter"|"Atrial fibrillation"
Cardiomyopathy	Cardiovascular	Both	FALSE	425.8|425.9|425.4|425.7|425.0|425.1|425.2|425.3	Other primary cardiomyopathies|"Obscure cardiomyopathy of Africa"|"Hypertrophic obstructive cardiomyopathy"|"Endocardial fibroelastosis"|"Cardiomyopathy in other diseases classified elsewhere"|"Nutritional and metabolic cardiomyopathy"|"Endomyocardial fibrosis"|"Secondary cardiomyopathy, unspecified"
Cerebrovascular_Disease	Cardiovascular	Both	FALSE	346.6|438.51|438.52|438.53|438.50|290.4|431.0|438.42|438.41|438.40|432.9|290.43|290.42|290.41|290.40|432.0|432.1|433.00|433.01|434.9|346.61|346.60|346.63|346.62|433.80|433.81|433.11|433.10|438.32|438.30|438.31|434.0|433.91|433.90|430.0|434.10|434.11|434.1|438.21|438.20|438.22|433.20|433.21|438.6|438.7|438.4|438.5|438.2|438.3|438.0|438.1|438.8|438.9|438|436|434.90|434|435|432|433|430|434.91|434.01|434.00|438.10|438.11|438.12|438.13|438.14|438.19|433.31|433.30|438.85|438.84|438.83|438.82|438.81|438.89|433.9|433.8|433.1|433.0|433.3|433.2|437|435.3|435.2|435.1|435.0|435.9|435.8|437.5|437.4|437.7|437.6|437.1|437.0|431|437.9|437.8	Late effects of cerebrovascular disease|"Cerebral embolism"|"Subarachnoid hemorrhage **"|"Other paralytic syndrome affecting unspecified side as late effect of cerebrovascular disease"|"Monoplegia of upper limb as late effect of cerebrovascular disease"|"Other paralytic syndrome affecting nondominant side as late effect of cerebrovascular disease"|"Subarachnoid hemorrhage"|"Occlusion and stenosis of basilar artery, with cerebral infarction"|"Other paralytic syndrome, bilateral"|"Vascular dementia"|"Cognitive deficits as late effect of cerebrovascular disease"|"Nontraumatic extradural hemorrhage"|"Other generalized ischemic cerebrovascular disease"|"Occlusion and stenosis of other specified precerebral artery, without mention of cerebral infarction"|"Other specified transient cerebral ischemias"|"Unspecified late effects of cerebrovascular disease"|"Hemiplegia affecting unspecified side as late effect of cerebrovascular disease"|"Occlusion and stenosis of vertebral artery"|"Other ill-defined cerebrovascular disease"|"Cerebral arteritis"|"Vascular dementia, uncomplicated"|"Persistent migraine aura with cerebral infarction"|"Vertebral artery syndrome"|"Unspecified transient cerebral ischemia"|"Other paralytic syndrome affecting dominant side as late effect of cerebrovascular disease"|"Alterations of sensations"|"Cerebral thrombosis, with cerebral infarction"|"Occlusion and stenosis of carotid artery, without mention of cerebral infarction"|"Cerebral artery occlusion, unspecified"|"Occlusion and stenosis of unspecified precerebral artery, without mention of cerebral infarction"|"Unspecified intracranial hemorrhage"|"Vascular dementia with depressed mood"|"Other late effects of cerebrovascular disease"|"Occlusion and stenosis of vertebral artery, with cerebral infarction"|"Other and unspecified intracranial hemorrhage"|"Persistent migraine aura with cerebral infarction, without mention of intractable migraine with status migrainosus"|"Occlusion and stenosis of basilar artery"|"Cerebral embolism, with cerebral infarction"|"Occlusion and stenosis of multiple and bilateral precerebral arteries, without mention of cerebral infarction"|"Unspecified precerebral artery, with cerebral infarction"|"Occlusion and stenosis of other specified precerebral artery"|"Intracerebral hemorrhage"|"Occlusion and stenosis of other specified precerebral artery, with cerebral infarction"|"Late effects of cerebrovascular disease, dysarthria (ADDED)"|"Vascular dementia with delirium"|"Cerebral embolism, without mention of cerebral infarction"|"Apraxia as late effect of cerebrovascular disease"|"Transient global amnesia"|"Hemiplegia affecting nondominant side as late effect of cerebrovascular disease"|"Cerebral atherosclerosis"|"Cerebral artery occlusion, unspecified, without mention of cerebral infarction"|"Monoplegia of lower limb affecting nondominant side as late effect of cerebrovascular disease"|"Occlusion and stenosis of unspecified precerebral artery"|"Occlusion and stenosis of vertebral artery, without mention of cerebral infarction"|"Acute, but ill-defined cerebrovascular disease"|"Disturbances of vision"|"Monoplegia of lower limb affecting dominant side as late effect of cerebrovascular disease"|"Persistent migraine aura with cerebral infarction, with intractable migraine, so stated, with status migrainosus"|"Dysphasia as late effect of cerebrovascular disease"|"Subclavian steal syndrome"|"Speech and language deficit, unspecified, as late effect of cerebrovascular disease"|"Cerebral thrombosis"|"Vertebrobasilar artery syndrome"|"Monoplegia of upper limb affecting dominant side as late effect of cerebrovascular disease"|"Occlusion and stenosis of multiple and bilateral precerebral arteries, with cerebral infarction"|"Speech and language deficits as late effect of cerebrovascular disease"|"Occlusion and stenosis of basilar artery, without mention of cerebral infarction"|"Moyamoya disease"|"Monoplegia of upper limb affecting nondominant side as late effect of cerebrovascular disease"|"Monoplegia of lower limb affecting unspecified side as late effect of cerebrovascular disease"|"Hemiplegia/hemiparesis as late effect of cerebrovascular disease"|"Occlusion and stenosis of precerebral arteries"|"Vertigo as late effect of cerebrovascular disease"|"Monoplegia of upper limb affecting unspecified side as late effect of cerebrovascular disease"|"Ataxia as late effect of cerebrovascular disease"|"Other and ill-defined cerebrovascular disease"|"Aphasia as late effect of cerebrovascular disease"|"Occlusion of cerebral arteries"|"Occlusion and stenosis of multiple and bilateral precerebral arteries"|"Other paralytic syndrome as late effect of cerebrovascular disease"|"Dysphagia as late effect of cerebrovascular disease"|"Intracerebral hemorrhage **"|"Occlusion and stenosis of carotid artery, with cerebral infarction"|"Hemiplegia affecting dominant side as late effect of cerebrovascular disease"|"Monoplegia of lower limb as late effect of cerebrovascular disease"|"Persistent migraine aura with cerebral infarction, without mention of intractable migraine without mention of status migrainosus"|"Persistent migraine aura with cerebral infarction, with intractable migraine, so stated, without mention of status migrainosus"|"Basilar artery syndrome"|"Transient cerebral ischemia"|"Other speech and language deficits as late effect of cerebrovascular disease"|"Cerebral artery occlusion, unspecified, with cerebral infarction"|"Facial weakness"|"Nonpyogenic thrombosis of intracranial venous sinus"|"Occlusion and stenosis of carotid artery"|"Subdural hemorrhage"|"Vascular dementia with delusions"|"Late effects of cerebrovascular disease, fluency disorder (ADDED)"|"Cerebral thrombosis, without mention of cerebral infarction"|"Unspecified cerebrovascular disease"
Chronic_Venous_Hypertension	Cardiovascular	Both	FALSE	459.3|459.33|459.32|459.31|459.30|459.39	Chronic venous hypertension with ulcer and inflammation|"Chronic venous hypertension with inflammation"|"Chronic venous hypertension with other complication"|"Chronic venous hypertension without complications"|"Chronic venous hypertension with ulcer"|"Chronic venous hypertension (idiopathic)"
Deep_Vein_Thrombosis	Cardiovascular	Both	FALSE	452|453|453.7|453.6|453.5|453.4|453.3|453.2|453.1|453.0|453.9|453.8|453.52|453.51|453.50|453.79|453.71|453.73|453.72|453.75|453.74|453.77|453.76|453.84|453.89|453.40|453.41|453.42|453.81|453.82|453.83|415.11|453.85|453.86|453.87	Thrombophlebitis migrans|"Embolism and thrombosis of vena cava"|"Embolism and thrombosis of other specified veins"|"Venous embolism and thrombosis of deep vessels of distal lower extremity"|"Portal vein thrombosis"|"Chronic venous embolism and thrombosis of other thoracic veins (ADDED)"|"Other venous embolism and thrombosis"|"Chronic venous embolism and thrombosis of deep vessels of distal lower extremity (ADDED)"|"Acute venous embolism and thrombosis of other specified veins (ADDED)"|"Iatrogenic pulmonary embolism and infarction"|"Chronic venous embolism and thrombosis of superficial veins of upper extremity (ADDED)"|"Chronic venous embolism and thrombosis of deep vessels of proximal lower extremity (ADDED)"|"Budd-Chiari syndrome"|"Chronic venous embolism and thrombosis of subclavian veins (ADDED)"|"Chronic venous embolism and thrombosis of other specified veins (ADDED)"|"Acute venous embolism and thrombosis of deep veins of upper extremity (ADDED)"|"Acute venous embolism and thrombosis of axillary veins (ADDED)"|"Acute venous embolism and thrombosis of upper extremity, unspecified (ADDED)"|"Chronic venous embolism and thrombosis of other specified vessels (ADDED)"|"Acute venous embolism and thrombosis of superficial veins of upper extremity (ADDED)"|"Acute venous embolism and thrombosis of internal jugular veins (ADDED)"|"Chronic venous embolism and thrombosis axillary veins (ADDED)"|"Chronic venous embolism and thrombosis of unspecified deep vessels of lower extremity (ADDED)"|"Venous embolism and thrombosis of superficial vessels of lower extremity (ADDED)"|"Venous embolism and thrombosis of deep vessels of proximal lower extremity"|"Acute venous embolism and thrombosis of subclavian veins (ADDED)"|"Chronic venous embolism and thrombosis of internal jugular veins (ADDED)"|"Embolism and thrombosis of renal vein"|"Embolism and thrombosis of unspecified site"|"Venous embolism and thrombosis of deep vessels of lower extremity"|"Venous embolism and thrombosis of unspecified deep vessels of lower extremity"|"Chronic venous embolism and thrombosis of upper extremity, unspecified (ADDED)"|"Acute venous embolism and thrombosis of other thoracic veins (ADDED)"|"Chronic venous embolism and thrombosis of deep vessels of lower extremity (ADDED)"|"Chronic venous embolism and thrombosis of deep veins of upper extremity (ADDED)"
